"","fips_state_code","fips_county_code","state","county","premature_death","poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","low_birthweight","adult_smoking","adult_obesity","food_environment_index","physical_inactivity","access_to_exercise_opportunities","excessive_drinking","alcohol.impaired_driving_deaths","sexually_transmitted_infections","teen_births","uninsured","primary_care_physicians","dentists","mental_health_providers","preventable_hospital_stays","diabetic_screening","mammography_screening","high_school_graduation","some_college","unemployment","children_in_poverty","inadequate_social_support","children_in_single.parent_households","violent_crime","injury_deaths","air_pollution_._particulate_matter","drinking_water_violations","severe_housing_problems","driving_alone_to_work","long_commute_._driving_alone","X2011_population_estimate","percent_of_population_below_18_years_of_age","percent_of_population_aged_65_years_and_older","percent_of_population_that_is_non.hispanic_african_american","percent_of_population_that_is_american_indian_or_alaskan_native","percent_of_population_that_is_asian","percent_of_population_that_is_native_hawaiian_or_other_pacific_islander","percent_of_population_that_is_hispanic","percent_of_population_that_is_non.hispanic_white","population_that_is_not_proficient_in_english","percent_of_population_that_is_female","population_living_in_a_rural_area","diabetes","hiv_prevalence_rate","premature_age.adjusted_mortality","infant_mortality","child_mortality","food_insecurity","limited_access_to_healthy_foods","motor_vehicle_crash_deaths","drug_poisoning_deaths","uninsured_adults","uninsured_children","health_care_costs","could_not_see_doctor_due_to_cost","other_primary_care_providers","median_household_income","children_eligible_for_free_lunch","homicide_rate"
"1","1","1","AL","autauga","8376","0.228","5.1","3.6","0.09","0.217","0.305","7.445","0.294","0.593","0.167","0.255","446.9","39","0.139","38","27","2","75.15","0.87","0.67","0.8","0.547","0.065","0.185","0.237","0.301","302.91","69.6","12.92","0","0.117","0.878","0.419","55514","0.26","0.13","0.18","0.005","0.009","0.001","0.025","0.768","0.004","0.511","0.42","0.118","181.1","439.5","9","59.2","0.136","0.098","23.92","7.42","0.18","0.047","10219","0.156","18","51441","0.361","3.57"
"2","1","3","AL","baldwin","7770","0.127","3.3","3.8","0.09","0.206","0.266","7.993","0.276","0.58","0.179","0.319","301.5","46.4","0.166","75","44","46","54.27","0.8","0.67","0.74","0.618","0.068","0.205","0.193","0.279","213.3","76.2","13.13","0.042","0.135","0.832","0.352","190790","0.226","0.177","0.094","0.007","0.008","0.001","0.045","0.834","0.018","0.511","0.423","0.118","188.1","365","6.4","58.7","0.131","0.055","19.98","14.71","0.209","0.056","9624","0.144","27","48867","0.368","4.18"
"3","1","5","AL","barbour","9458","0.234","4.8","4.3","0.12","0.251","0.373","5.403","0.35","0.115","0.135","0.476","873.9","73.8","0.189","44","33","3","101.23","0.88","0.65","0.606","0.414","0.112","0.47","0.176","0.559","154.33","52.7","12.62","0.317","0.168","0.827","0.315","27201","0.212","0.152","0.467","0.006","0.005","0.002","0.049","0.468","0.022","0.463","0.678","0.142","388.1","459.3","12.8","105.3","0.23","0.114","26.17",NA,"0.242","0.061","10809","0.169","11","30287","0.664","5.13"
"4","1","7","AL","bibb","11544","0.179","4.7","5.1","0.13","0.259","0.343","7.799","0.37","0.183","0.112","0.276","465.6","49.3","0.16","22","16",NA,"89.56","0.83","0.62","0.73","0.442","0.076","0.272","0.291","0.393","254.24","98.1","12.87","0","0.095","0.823","0.497","22597","0.216","0.139","0.221","0.003","0.001","0.001","0.02","0.747","0.005","0.46","0.684","0.111","106.7","541.8","11.2","103.9","0.158","0.021","33.79","16.58","0.2","0.057","10809","0.163","4","37392","0.535","7.65"
"5","1","9","AL","blount","8506","0.242","5.9","3.9","0.08","0.213","0.304","8.648","0.35","0.152","0.055","0.233","175.1","47.6","0.181","19","19","3","90.97","0.84","0.63","0.81","0.463","0.062","0.231","0.143","0.253","164.46","89.3","12.66","0.034","0.126","0.805","0.603","57826","0.24","0.159","0.014","0.006","0.002","0.001","0.084","0.885","0.028","0.506","0.9","0.14","92.8","426.2","6.6","63.9","0.121","0.011","28.3","13","0.227","0.069","10510","0.173","5","44225","0.439","4.08"
"6","1","11","AL","bullock","9884","0.23","4.2",NA,"0.14","0.378","0.421","3.702","0.325","0.288",NA,"0.4","1403.90","85.1","0.157","28","16","8","90.63","0.81","0.49","0.725","0.36","0.134","0.432",NA,"0.654","333.96","102.5","12.75","0.155","0.141","0.841","0.446","10474","0.212","0.146","0.688","0.009","0.002","0.008","0.078","0.224","0.032","0.458","0.514","0.175","409.1","514.8",NA,NA,"0.27","0.202","58.66",NA,"0.208","0.04","8941","0.167","67","25854","0.901",NA
"7","1","13","AL","butler","11006","0.199","3.9","3.5","0.1","0.305","0.383","6.352","0.369","0.473","0.109","0.154","639.2","61.5","0.164","34","29","19","128.3","0.78","0.58","0.72","0.462","0.109","0.421","0.276","0.494","452.92","70.8","12.82","0.251","0.165","0.887","0.321","20307","0.231","0.174","0.432","0.003","0.009","0","0.011","0.538","0.002","0.531","0.712","0.16","219.8","553","10.8","64","0.227","0.028","28.73","7.53","0.21","0.046","11331","0.185","34","30605","0.679","9.58"
"8","1","15","AL","calhoun","11097","0.227","5.2","5.1","0.09","0.244","0.332","6.642","0.333","0.405","0.116","0.2","663","50.7","0.169","67","46","63","91.53","0.8","0.55","0.787","0.508","0.076","0.314","0.224","0.388","553.33","78.4","12.89","0","0.145","0.844","0.265","117296","0.227","0.152","0.205","0.005","0.008","0.001","0.034","0.735","0.011","0.519","0.337","0.139","185.4","532.3","8","81.3","0.175","0.1","22.73","11.18","0.213","0.053","11246","0.184","32","39212","0.51","11.31"
"9","1","17","AL","chambers","10368","0.385","5","4.3","0.12","0.241","0.354","6.071","0.387","0.344",NA,"0.25","766.1","62.6","0.179","38","23",NA,"88.79","0.84","0.66","0.8","0.471","0.093","0.347","0.326","0.516","575.7","77.5","12.97","0","0.171","0.844","0.332","34064","0.22","0.176","0.385","0.002","0.006","0.001","0.017","0.582","0.005","0.523","0.491","0.15","318.2","531.1","6.7","62.8","0.21","0.088","27.08","9.44","0.228","0.047","9436","0.225","6","32320","0.651","8.21"
"10","1","19","AL","cherokee","9409","0.242","6.1","5.2","0.09","0.244","0.314","8.166","0.342","0.149","0.149","0.303","268.6","52.2","0.172","27","15","15","100.16","0.88","0.6","0.72","0.535","0.071","0.299","0.23","0.258","335.88","80.9","12.93","0","0.102","0.805","0.415","26021","0.208","0.193","0.047","0.005","0.002","0","0.014","0.92","0.002","0.504","0.857","0.136","119.8","466.5",NA,"72.7","0.15","0.001","25.78","12.89","0.214","0.051","10671","0.171","19","37868","0.508",NA
